Timestamp,Source IP Address,Destination IP Address,Source Port,Destination Port,Protocol,Packet Length,Packet Type,Traffic Type,Payload Data,Malware Indicators,Anomaly Scores,Alerts/Warnings,Attack Type,Attack Signature,Action Taken,Severity Level,User Information,Device Information,Network Segment,Geo-location Data,Proxy Information,Firewall Logs,IDS/IPS Alerts,Log Source
2024-05-21 23:00:02,223.147.244.181,153.131.221.107,6285,3307,TCP,507,Control,FTP,-,,98.81,Alert Triggered,Intrusion,Known Pattern A,Blocked,High,Kavya Dhar,Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10_5_9) AppleWebKit/536.0 (KHTML like Gecko) Chrome/30.0.869.0 Safari/536.0,Segment A,Montreal.Beijing,27.221.25.53,Log Data,Alert Data,Server
2024-05-21 04:07:15,18.36.130.109,178.18.119.165,47109,19390,TCP,241,Data,DNS,-,IoC Detected,96.63,Alert Triggered,Intrusion,Known Pattern B,Ignored,Low,Divij Dube,Opera/9.37.(X11; Linux i686; unm-US) Presto/2.9.178 Version/10.00,Segment C,Guwahati.Telangana,146.183.76.74,,,Server
2024-05-21 11:11:20,216.133.192.141,86.56.234.119,5608,14068,TCP,1452,Data,FTP,-,IoC Detected,76.85,Alert Triggered,DDoS,Known Pattern A,Blocked,Low,Anya Tailor,Mozilla/5.0 (Windows 95) AppleWebKit/535.0 (KHTML like Gecko) Chrome/16.0.858.0 Safari/535.0,Segment B,Berlin.Los Angeles,141.7.239.244,,,Server
2024-05-21 18:27:23,8.141.75.93,140.162.238.8,55044,40462,TCP,470,Control,FTP,-,IoC Detected,47.49,,Malware,Known Pattern B,Ignored,Low,Anahi Bora,Mozilla/5.0 (Windows NT 5.0) AppleWebKit/534.1 (KHTML like Gecko) Chrome/23.0.819.0 Safari/534.1,Segment B,Chandigarh.Jharkhand,,,Alert Data,Server
2024-05-21 11:10:05,10.148.183.114,46.163.88.52,41009,28062,UDP,1340,Control,FTP,-,IoC Detected,6.28,,Malware,Known Pattern A,Ignored,Medium,Myra Badal,Opera/9.46.(Windows NT 5.01; rw-RW) Presto/2.9.160 Version/12.00,Segment A,Firozabad.Gujarat,14.67.4.17,,Alert Data,Firewall
2024-05-21 12:06:40,170.37.245.254,149.187.185.124,12411,23822,TCP,976,Control,HTTP,-,IoC Detected,80.9,Alert Triggered,Intrusion,Known Pattern A,Logged,Low,Umang Loke,Mozilla/5.0 (iPhone; CPU iPhone OS 14_2 like Mac OS X) AppleWebKit/536.0 (KHTML like Gecko) CriOS/16.0.811.0 Mobile/86K629 Safari/536.0,Segment B,Ambattur.Bihar,,,,Firewall
2024-05-21 15:35:28,184.242.31.249,60.201.73.24,32628,19731,TCP,149,Control,HTTP,-,IoC Detected,77.28,,Intrusion,Known Pattern A,Blocked,High,Misha Goyal,Opera/8.86.(Windows NT 6.0; gl-ES) Presto/2.9.180 Version/11.00,Segment A,Houston.Athens,,Log Data,Alert Data,Server
2024-05-21 02:45:29,1.151.151.199,183.170.154.240,29915,58135,TCP,435,Data,HTTP,-,,83.63,,DDoS,Known Pattern A,Ignored,High,Zeeshan Kuruvilla,Mozilla/5.0 (iPod; U; CPU iPhone OS 4_0 like Mac OS X; fa-IR) AppleWebKit/533.8.5 (KHTML like Gecko) Version/4.0.5 Mobile/8B118 Safari/6533.8.5,Segment B,Guwahati.Telangana,147.80.87.110,Log Data,Alert Data,Server
2024-05-21 09:20:01,245.24.158.158,78.192.105.39,14277,32766,UDP,418,Data,DNS,-,,98.25,Alert Triggered,DDoS,Known Pattern A,Blocked,Low,Khushi Yadav,Opera/8.47.(Windows NT 5.1; nds-DE) Presto/2.9.186 Version/12.00,Segment B,Kakinada.Manipur,93.172.82.140,Log Data,,Server
2024-05-21 23:56:59,140.198.155.106,63.174.248.142,60350,18458,TCP,1259,Control,DNS,-,,67.93,Alert Triggered,Intrusion,Known Pattern A,Blocked,Medium,Piya Kota,Mozilla/5.0 (iPhone; CPU iPhone OS 4_2_1 like Mac OS X) AppleWebKit/536.1 (KHTML like Gecko) CriOS/60.0.894.0 Mobile/21G468 Safari/536.1,Segment A,Hospet.Paris,28.149.149.211,Log Data,,Server
2024-05-21 09:13:00,238.127.112.113,85.188.97.241,11507,29445,TCP,1030,Control,HTTP,-,,76.75,Alert Triggered,DDoS,Known Pattern A,Ignored,High,Rati Krishna,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_8_9) AppleWebKit/535.1 (KHTML like Gecko) Chrome/23.0.881.0 Safari/535.1,Segment B,Sikar.Bihar,205.232.235.42,,,Server
2024-05-21 04:39:13,165.79.172.11,142.69.27.114,47334,32213,TCP,1088,Data,FTP,-,IoC Detected,81.12,,DDoS,Known Pattern A,Ignored,High,Shalv Chacko,Mozilla/5.0 (iPod; U; CPU iPhone OS 3_3 like Mac OS X; uk-UA) AppleWebKit/534.29.6 (KHTML like Gecko) Version/4.0.5 Mobile/8B117 Safari/6534.29.6,Segment C,Bongaigaon.Madhya Pradesh,,Log Data,,Server
2024-05-21 01:07:23,176.29.229.200,154.72.207.217,42081,34766,TCP,725,Data,DNS,-,IoC Detected,70.97,,DDoS,Known Pattern A,Ignored,Low,Rhea Seshadri,Mozilla/5.0 (Android 1.1; Mobile; rv:64.0) Gecko/64.0 Firefox/64.0,Segment A,Xi'an.Chicago,152.121.31.239,,,Firewall
2024-05-21 08:21:46,67.108.55.66,197.98.34.57,46729,8344,ICMP,1160,Data,DNS,-,IoC Detected,75.22,Alert Triggered,DDoS,Known Pattern A,Ignored,Low,Alisha Brahmbhatt,Opera/9.75.(Windows 95; ro-RO) Presto/2.9.182 Version/12.00,Segment B,Beijing.Mizoram,,,,Firewall
2024-05-21 17:33:30,6.240.148.80,151.109.0.21,46770,31542,TCP,674,Control,HTTP,-,IoC Detected,76.3,Alert Triggered,DDoS,Known Pattern A,Blocked,Medium,Ehsaan Chokshi,Mozilla/5.0 (Macintosh; U; PPC Mac OS X 10_5_9 rv:4.0; fr-CA) AppleWebKit/534.45.3 (KHTML like Gecko) Version/4.0.1 Safari/534.45.3,Segment B,Madrid.Latur,251.105.92.228,Log Data,,Firewall
2024-05-21 14:02:50,92.162.110.140,236.75.0.30,25303,21209,TCP,74,Data,HTTP,-,,20.82,Alert Triggered,Intrusion,Known Pattern A,Ignored,Low,Manikya Zacharia,Mozilla/5.0 (Windows CE) AppleWebKit/531.0 (KHTML like Gecko) Chrome/30.0.877.0 Safari/531.0,Segment B,Berlin.Toronto,,Log Data,,Firewall
2024-05-21 21:16:13,99.23.205.14,155.43.231.211,52324,36255,TCP,289,Control,DNS,-,IoC Detected,87.59,,DDoS,Known Pattern B,Blocked,High,Vivaan Das,Mozilla/5.0 (iPhone; CPU iPhone OS 6_1_6 like Mac OS X) AppleWebKit/535.2 (KHTML like Gecko) FxiOS/13.3i1584.0 Mobile/43N862 Safari/535.2,Segment C,Houston.Rome,,Log Data,,Server
2024-05-21 05:56:56,155.253.244.111,79.155.8.21,11227,12023,ICMP,641,Control,FTP,-,,75.04,Alert Triggered,DDoS,Known Pattern A,Blocked,High,Adira Thakur,Opera/9.90.(X11; Linux x86_64; km-KH) Presto/2.9.174 Version/11.00,Segment C,Mexico City.Paris,,Log Data,Alert Data,Server
2024-05-21 17:20:53,155.201.34.161,30.141.224.167,29439,63675,TCP,258,Data,DNS,-,IoC Detected,94.82,Alert Triggered,Intrusion,Known Pattern B,Blocked,High,Pari Edwin,Mozilla/5.0 (Macintosh; PPC Mac OS X 10_12_7) AppleWebKit/535.2 (KHTML like Gecko) Chrome/36.0.842.0 Safari/535.2,Segment A,New York City.Vienna,,Log Data,,Server
2024-05-21 04:32:05,237.77.216.121,22.162.201.62,51725,33013,TCP,1175,Control,HTTP,-,,97.86,Alert Triggered,DDoS,Known Pattern A,Blocked,Low,Bhamini Agate,Mozilla/5.0 (Windows NT 5.0; yi-US; rv:1.9.1.20) Gecko/3804-09-14 02:30:13 Firefox/13.0,Segment A,Jabalpur.Punjab,,,Alert Data,Server
2024-05-21 13:26:06,194.71.23.32,107.16.131.121,9860,18658,TCP,424,Control,HTTP,-,,48.63,,Intrusion,Known Pattern A,Ignored,Low,Zoya Ganesh,Mozilla/5.0 (Macintosh; U; PPC Mac OS X 10_9_8 rv:5.0; ks-IN) AppleWebKit/532.13.6 (KHTML like Gecko) Version/4.0.4 Safari/532.13.6,Segment C,Udupi.Punjab,,Log Data,,Firewall
2024-05-21 18:43:10,16.176.199.63,108.128.223.118,24232,33972,ICMP,496,Data,DNS,-,,85.69,Alert Triggered,Intrusion,Known Pattern A,Ignored,High,Bhavin Dyal,Opera/9.74.(Windows NT 6.1; sid-ET) Presto/2.9.174 Version/12.00,Segment B,Nanjing.Vancouver,169.40.44.114,,Alert Data,Server
2024-05-21 19:44:41,102.64.71.4,198.195.61.248,24975,14778,TCP,238,Data,FTP,-,IoC Detected,77.08,,Intrusion,Known Pattern A,Ignored,High,Ishaan Vaidya,Mozilla/5.0 (Android 4.4.4; Mobile; rv:12.0) Gecko/12.0 Firefox/12.0,Segment C,Paris.London,72.212.242.86,,,Server
2024-05-21 23:47:30,250.37.229.11,142.181.53.66,16629,30186,TCP,472,Data,FTP,-,IoC Detected,25.38,,Malware,Known Pattern B,Blocked,Medium,Himmat Rege,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_5; rv:1.9.2.20) Gecko/9583-10-20 11:31:34 Firefox/5.0,Segment A,Athens.Vancouver,,,,Server
2024-05-21 05:40:54,186.191.229.13,124.45.18.247,57777,30457,UDP,1268,Control,DNS,-,,90.86,,Malware,Known Pattern B,Logged,Low,Indrans Brahmbhatt,Mozilla/5.0 (Macintosh; PPC Mac OS X 10_8_5 rv:5.0; tl-PH) AppleWebKit/532.43.3 (KHTML like Gecko) Version/5.0 Safari/532.43.3,Segment C,Bhusawal.Kerala,254.41.232.140,,,Server
2024-05-21 18:57:03,241.187.246.8,156.4.159.7,64186,26652,TCP,1063,Data,FTP,-,,95.03,Alert Triggered,Intrusion,Known Pattern A,Logged,Low,Zoya Hayre,Mozilla/5.0 (Windows; U; Windows 95) AppleWebKit/533.17.1 (KHTML like Gecko) Version/5.1 Safari/533.17.1,Segment A,Chicago.Guangzhou,,,,Server
2024-05-21 07:29:32,130.190.185.87,20.60.201.241,1966,61888,UDP,407,Control,DNS,-,IoC Detected,97.39,,DDoS,Known Pattern B,Blocked,Low,Zaina Ramesh,Mozilla/5.0 (Macintosh; PPC Mac OS X 10_6_9; rv:1.9.5.20) Gecko/6843-12-12 00:21:58 Firefox/6.0,Segment C,Brussels.Houston,,,,Server
2024-05-21 10:13:18,50.19.58.156,150.119.199.106,59831,40903,ICMP,196,Control,DNS,-,IoC Detected,60.42,Alert Triggered,DDoS,Known Pattern A,Blocked,Low,Vivaan Issac,Mozilla/5.0 (iPod; U; CPU iPhone OS 3_2 like Mac OS X; mn-MN) AppleWebKit/533.10.4 (KHTML like Gecko) Version/4.0.5 Mobile/8B112 Safari/6533.10.4,Segment B,Houston.Amsterdam,42.88.101.120,,Alert Data,Firewall
2024-05-21 07:30:19,76.9.210.177,145.108.52.127,40487,18215,TCP,537,Control,HTTP,-,,65.81,,DDoS,Known Pattern B,Ignored,Medium,Kavya Verma,Mozilla/5.0 (Android 7.1.2; Mobile; rv:56.0) Gecko/56.0 Firefox/56.0,Segment A,Hangzhou.Atlanta,177.115.184.101,,Alert Data,Firewall
2024-05-21 21:36:41,2.146.66.106,19.3.67.90,6866,21410,TCP,320,Control,HTTP,-,IoC Detected,81.02,,Intrusion,Known Pattern A,Ignored,Low,Kaira Sane,Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/532.2 (KHTML like Gecko) Chrome/51.0.833.0 Safari/532.2,Segment C,New York City.Paris,105.122.63.214,,,Server
2024-05-21 16:09:33,75.252.160.193,112.107.118.6,27404,10808,TCP,1304,Control,DNS,-,,75.57,Alert Triggered,DDoS,Known Pattern B,Blocked,High,Amani Goyal,Opera/9.36.(X11; Linux i686; ku-TR) Presto/2.9.175 Version/11.00,Segment C,Beijing.Amsterdam,,,,Server
2024-05-21 01:30:49,84.29.167.38,224.63.45.202,7787,14085,TCP,630,Control,DNS,-,,24.38,,Intrusion,Known Pattern A,Ignored,Medium,Vedika Chada,Mozilla/5.0 (Windows NT 6.1) AppleWebKit/536.0 (KHTML like Gecko) Chrome/28.0.843.0 Safari/536.0,Segment C,Suryapet.Kerala,,,Alert Data,Firewall
2024-05-21 15:03:46,254.101.213.0,125.66.161.113,38435,34637,TCP,374,Control,DNS,-,IoC Detected,70.13,Alert Triggered,DDoS,Known Pattern A,Blocked,Medium,Pari Chaudhari,Mozilla/5.0 (Windows; U; Windows NT 5.0) AppleWebKit/532.30.5 (KHTML like Gecko) Version/4.0 Safari/532.30.5,Segment B,Wuhan.Houston,,,,Firewall
2024-05-21 19:57:40,171.36.220.7,59.36.27.236,48238,8325,TCP,1138,Data,FTP,-,IoC Detected,80.48,Alert Triggered,Intrusion,Known Pattern B,Ignored,High,Shayak Halder,Mozilla/5.0 (iPod; U; CPU iPhone OS 4_3 like Mac OS X; byn-ER) AppleWebKit/531.18.6 (KHTML like Gecko) Version/3.0.5 Mobile/8B118 Safari/6531.18.6,Segment C,Kurnool.Rajasthan,42.196.84.85,,,Server
