Timestamp,Source IP Address,Destination IP Address,Source Port,Destination Port,Protocol,Packet Length,Packet Type,Traffic Type,Payload Data,Malware Indicators,Anomaly Scores,Alerts/Warnings,Attack Type,Attack Signature,Action Taken,Severity Level,User Information,Device Information,Network Segment,Geo-location Data,Proxy Information,Firewall Logs,IDS/IPS Alerts,Log Source
2024-05-23 05:23:56,188.100.154.178,253.217.95.229,49422,28455,TCP,377,Control,HTTP,-,,73.89,,DDoS,Known Pattern A,Ignored,Low,Yakshit Sarkar,Opera/9.55.(Windows NT 6.2; sd-IN) Presto/2.9.172 Version/12.00,Segment A,Berlin.Toronto,,Log Data,Alert Data,Server
2024-05-23 06:58:25,123.161.37.28,7.31.158.145,22422,50749,TCP,329,Control,HTTP,-,,43.56,Alert Triggered,Intrusion,Known Pattern B,Logged,Medium,Sahil Borra,Mozilla/5.0 (Windows; U; Windows NT 5.0) AppleWebKit/533.8.7 (KHTML like Gecko) Version/5.0 Safari/533.8.7,Segment A,New York City.Vienna,,Log Data,Alert Data,Firewall
2024-05-23 04:56:15,147.197.195.128,43.139.134.51,6116,19811,TCP,485,Control,FTP,-,,29.67,,DDoS,Known Pattern A,Blocked,Medium,Anya Agate,Opera/9.27.(X11; Linux i686; apn-IN) Presto/2.9.173 Version/12.00,Segment C,Miami.Vancouver,,,,Server
2024-05-23 00:40:10,42.21.168.72,18.10.178.97,30434,64707,TCP,909,Data,DNS,-,IoC Detected,56.2,Alert Triggered,Intrusion,Known Pattern A,Blocked,Medium,Nayantara Rao,Mozilla/5.0 (Android 2.2; Mobile; rv:65.0) Gecko/65.0 Firefox/65.0,Segment C,New York City.Paris,90.216.61.156,Log Data,Alert Data,Firewall
2024-05-23 09:48:16,82.181.87.103,203.255.148.107,14638,14919,TCP,532,Control,FTP,-,IoC Detected,75.61,Alert Triggered,Malware,Known Pattern B,Ignored,Low,Advika Deol,Mozilla/5.0 (Macintosh; U; PPC Mac OS X 10_5_1 rv:4.0; an-ES) AppleWebKit/535.2.6 (KHTML like Gecko) Version/5.0 Safari/535.2.6,Segment A,Sikar.Bihar,72.144.248.207,Log Data,Alert Data,Server
2024-05-23 14:13:20,222.212.155.33,168.170.62.23,3068,54442,TCP,942,Data,DNS,-,,99.41,Alert Triggered,DDoS,Known Pattern B,Logged,Low,Ela Apte,Mozilla/5.0 (Macintosh; PPC Mac OS X 10_8_3 rv:5.0; kn-IN) AppleWebKit/532.50.5 (KHTML like Gecko) Version/5.0.2 Safari/532.50.5,Segment B,Rome.Atlanta,,Log Data,,Firewall
2024-05-23 14:55:16,33.39.148.249,23.99.0.63,1529,16439,TCP,139,Control,DNS,-,IoC Detected,94.2,,DDoS,Known Pattern A,Ignored,Medium,Zaina Manda,Opera/9.17.(Windows NT 6.1; ia-FR) Presto/2.9.172 Version/12.00,Segment C,Beijing.Haryana,79.139.4.99,Log Data,Alert Data,Firewall
2024-05-23 21:32:30,163.62.137.218,68.53.167.64,12934,7917,TCP,246,Data,DNS,-,IoC Detected,79.34,Alert Triggered,Intrusion,Known Pattern A,Ignored,Low,Zoya Singhal,Mozilla/5.0 (Macintosh; PPC Mac OS X 10_10_5 rv:4.0; ne-NP) AppleWebKit/535.19.2 (KHTML like Gecko) Version/5.0.5 Safari/535.19.2,Segment A,Davanagere.Sikkim,22.193.170.216,,Alert Data,Firewall
2024-05-23 19:22:50,254.230.115.197,68.8.62.221,29350,48883,TCP,566,Data,FTP,-,IoC Detected,93.46,Alert Triggered,Malware,Known Pattern B,Blocked,Medium,Ira Chana,Mozilla/5.0 (Linux; Android 11) AppleWebKit/533.0 (KHTML like Gecko) Chrome/58.0.841.0 Safari/533.0,Segment A,New York City.Vienna,92.231.101.161,Log Data,Alert Data,Firewall
2024-05-23 05:27:14,64.237.114.142,41.155.21.149,63646,26430,TCP,748,Data,HTTP,-,IoC Detected,78.95,,DDoS,Known Pattern A,Ignored,High,Vidur Vasa,Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/535.1 (KHTML like Gecko) Chrome/56.0.893.0 Safari/535.1,Segment B,Toronto.Madrid,,,Alert Data,Firewall
2024-05-23 07:34:24,41.218.28.227,154.39.85.138,36930,19836,ICMP,1157,Control,HTTP,-,IoC Detected,82.79,,Malware,Known Pattern B,Ignored,High,Alia Ratta,Mozilla/5.0 (Windows; U; Windows NT 6.1) AppleWebKit/533.4.1 (KHTML like Gecko) Version/5.0.5 Safari/533.4.1,Segment B,Amsterdam.Houston,,Log Data,Alert Data,Server
2024-05-23 09:07:40,104.13.15.254,238.169.164.6,49865,2812,UDP,1243,Data,FTP,-,IoC Detected,57.18,,Intrusion,Known Pattern A,Ignored,Low,Shayak Bhatnagar,Mozilla/5.0 (X11; Linux i686; rv:1.9.5.20) Gecko/6358-09-24 13:27:12 Firefox/3.8,Segment B,Eluru.Rajasthan,,Log Data,,Firewall
2024-05-23 19:56:05,229.21.167.210,174.29.61.93,45980,20938,TCP,1236,Control,DNS,-,IoC Detected,91.33,Alert Triggered,DDoS,Known Pattern A,Ignored,Medium,Shaan Ahluwalia,Mozilla/5.0 (iPhone; CPU iPhone OS 4_2_1 like Mac OS X) AppleWebKit/535.2 (KHTML like Gecko) FxiOS/10.4l0098.0 Mobile/11O545 Safari/535.2,Segment B,Patiala.Uttar Pradesh,139.159.145.149,,Alert Data,Firewall
2024-05-23 15:52:38,80.103.137.47,148.255.216.123,18062,34698,UDP,1316,Control,DNS,-,IoC Detected,12.2,Alert Triggered,Intrusion,Known Pattern B,Blocked,Low,Ayesha Mandal,Opera/8.50.(Windows 98; yo-NG) Presto/2.9.181 Version/10.00,Segment A,Bareilly.New York City,7.151.127.36,Log Data,Alert Data,Firewall
2024-05-23 09:29:12,103.152.151.221,61.7.230.192,56739,60517,TCP,1007,Control,FTP,-,,96.54,Alert Triggered,Malware,Known Pattern A,Ignored,High,Krish Mallick,Mozilla/5.0 (X11; Linux x86_64; rv:1.9.5.20) Gecko/3573-05-19 23:11:10 Firefox/6.0,Segment A,Xi'an.Chicago,243.80.142.248,Log Data,Alert Data,Server
