Timestamp,Source IP Address,Destination IP Address,Source Port,Destination Port,Protocol,Packet Length,Packet Type,Traffic Type,Payload Data,Malware Indicators,Anomaly Scores,Alerts/Warnings,Attack Type,Attack Signature,Action Taken,Severity Level,User Information,Device Information,Network Segment,Geo-location Data,Proxy Information,Firewall Logs,IDS/IPS Alerts,Log Source
2024-05-15 10:08:28,233.12.34.200,172.180.136.104,49431,51884,TCP,831,Control,DNS,-,IoC Detected,98.6,Alert Triggered,Malware,Known Pattern B,Blocked,Medium,Mehul Bhat,Opera/9.19.(X11; Linux i686; xh-ZA) Presto/2.9.168 Version/12.00,Segment C,Beijing.Himachal Pradesh,,Log Data,Alert Data,Firewall
2024-05-15 02:06:48,17.63.151.15,119.5.122.70,39338,10439,TCP,888,Control,DNS,-,IoC Detected,93.77,Alert Triggered,Malware,Known Pattern B,Ignored,Low,Divyansh Rajan,Opera/9.48.(X11; Linux x86_64; mr-IN) Presto/2.9.179 Version/11.00,Segment A,London.Beijing,235.149.187.198,Log Data,Alert Data,Firewall
2024-05-15 22:59:21,104.182.124.133,13.121.121.43,15471,43315,UDP,120,Control,FTP,-,IoC Detected,88.96,,Malware,Known Pattern A,Blocked,Low,Hiran Sathe,Mozilla/5.0 (iPhone; CPU iPhone OS 9_3_6 like Mac OS X) AppleWebKit/531.0 (KHTML like Gecko) FxiOS/18.5d8132.0 Mobile/57S450 Safari/531.0,Segment A,Chengdu.Toronto,,Log Data,Alert Data,Firewall
2024-05-15 09:02:01,201.87.58.114,185.162.45.138,14583,23947,ICMP,121,Data,DNS,-,IoC Detected,54.06,,Malware,Known Pattern A,Ignored,Medium,Darshit Sankar,Opera/8.84.(X11; Linux i686; yo-NG) Presto/2.9.164 Version/10.00,Segment C,Montreal.Amsterdam,208.103.208.150,Log Data,Alert Data,Server
2024-05-15 00:03:08,64.195.165.218,74.200.111.14,58647,59584,TCP,436,Control,HTTP,-,,71.55,,Malware,Known Pattern B,Blocked,Medium,Hiran Date,Mozilla/5.0 (iPhone; CPU iPhone OS 10_3_4 like Mac OS X) AppleWebKit/536.1 (KHTML like Gecko) FxiOS/9.7z5965.0 Mobile/74R185 Safari/536.1,Segment B,Mexico City.Paris,,,Alert Data,Firewall
2024-05-15 01:48:22,47.255.238.186,166.119.168.213,29307,60667,TCP,765,Data,DNS,-,,1.84,Alert Triggered,DDoS,Known Pattern A,Ignored,Medium,Armaan Dua,Opera/9.38.(X11; Linux i686; nl-AW) Presto/2.9.184 Version/12.00,Segment C,Amsterdam.Toronto,,,Alert Data,Firewall
2024-05-15 10:55:07,197.52.154.91,133.215.43.38,14804,60410,TCP,783,Data,DNS,-,,91.73,,DDoS,Known Pattern A,Ignored,High,Sara Gopal,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_6_7) AppleWebKit/533.2 (KHTML like Gecko) Chrome/18.0.812.0 Safari/533.2,Segment C,Anantapuram.Kerala,164.79.6.158,,Alert Data,Server
2024-05-15 04:47:27,243.140.22.163,44.41.101.94,33949,35714,TCP,1282,Data,HTTP,-,,37.93,,DDoS,Known Pattern A,Logged,Low,Manjari Brar,Opera/8.14.(Windows NT 6.1; gez-ER) Presto/2.9.182 Version/12.00,Segment C,Berlin.Toronto,108.0.247.39,,Alert Data,Firewall
2024-05-15 15:43:08,88.58.155.78,131.104.78.243,51521,15076,TCP,92,Data,DNS,-,,82.2,Alert Triggered,DDoS,Known Pattern A,Logged,High,Aarav Kale,Opera/9.23.(Windows NT 6.2; lzh-TW) Presto/2.9.166 Version/10.00,Segment A,Lisbon.Guangzhou,107.200.171.217,Log Data,Alert Data,Server
2024-05-15 15:09:49,19.82.233.176,108.155.19.233,28638,29200,TCP,985,Control,FTP,-,IoC Detected,81.69,,Malware,Known Pattern A,Logged,Medium,Shanaya Mall,Mozilla/5.0 (iPad; CPU iPad OS 10_3_4 like Mac OS X) AppleWebKit/531.1 (KHTML like Gecko) FxiOS/17.6u7347.0 Mobile/23K938 Safari/531.1,Segment A,Madrid.Toronto,231.233.215.72,,,Server
